instance,repetition,position,solver,exit_code,status,cost,sets,preparation_wall_s,core_wall_s,total_after_read_wall_s,preparation_cpu_s,core_cpu_s,total_after_read_cpu_s,process_wall_s,process_user_s,process_system_s,max_rss_kb,nodes,best_bound,gap_percent,solution_valid,log_file
"scp41","1","1","cplex","0","Optimal","429","66","0.001266038","0.008931315","0.010197353","0.001265000","0.008933000","0.010198000","0.01","0.00","0.00","20708","0","429","0","SIM","/home/leo/novo_tcc_rian/cplex_testes_versus_meu_codigo/dlx_nova_versao/comparacao/resultados/20260822_191747_2/logs/scp41_rep01_pos1_cplex.log"
"scp41","1","2","dlx","0","Optimal","429","66","0.008779767","0.000041295","0.008821062","0.008778000","0.000041000","0.008819000","0.01","0.01","0.00","3948","67","429.0000","","","/home/leo/novo_tcc_rian/cplex_testes_versus_meu_codigo/dlx_nova_versao/comparacao/resultados/20260822_191747_2/logs/scp41_rep01_pos2_dlx.log"
"scp41","2","1","dlx","0","Optimal","429","66","0.010778496","0.000052950","0.010831446","0.010777000","0.000052000","0.010829000","0.01","0.01","0.00","3988","67","429.0000","","","/home/leo/novo_tcc_rian/cplex_testes_versus_meu_codigo/dlx_nova_versao/comparacao/resultados/20260822_191747_2/logs/scp41_rep02_pos1_dlx.log"
"scp41","2","2","cplex","0","Optimal","429","66","0.001756661","0.011591345","0.013348006","0.001757000","0.011529000","0.013286000","0.01","0.01","0.00","19896","0","429","0","SIM","/home/leo/novo_tcc_rian/cplex_testes_versus_meu_codigo/dlx_nova_versao/comparacao/resultados/20260822_191747_2/logs/scp41_rep02_pos2_cplex.log"
"scp41","3","1","cplex","0","Optimal","429","66","0.001454696","0.022564842","0.024019538","0.001454000","0.022566000","0.024020000","0.02","0.02","0.00","19988","0","429","0","SIM","/home/leo/novo_tcc_rian/cplex_testes_versus_meu_codigo/dlx_nova_versao/comparacao/resultados/20260822_191747_2/logs/scp41_rep03_pos1_cplex.log"
"scp41","3","2","dlx","0","Optimal","429","66","0.007599045","0.000041419","0.007640464","0.007598000","0.000041000","0.007639000","0.01","0.00","0.00","3836","67","429.0000","","","/home/leo/novo_tcc_rian/cplex_testes_versus_meu_codigo/dlx_nova_versao/comparacao/resultados/20260822_191747_2/logs/scp41_rep03_pos2_dlx.log"
"scp42","1","1","dlx","0","Optimal","512","60","0.005627414","0.000050494","0.005677908","0.005626000","0.000050000","0.005676000","0.00","0.00","0.00","3828","61","512.0000","","","/home/leo/novo_tcc_rian/cplex_testes_versus_meu_codigo/dlx_nova_versao/comparacao/resultados/20260822_191747_2/logs/scp42_rep01_pos1_dlx.log"
"scp42","1","2","cplex","0","Optimal","512","60","0.002441406","0.014711929","0.017153335","0.002442000","0.014678000","0.017120000","0.02","0.01","0.00","19820","0","512","0","SIM","/home/leo/novo_tcc_rian/cplex_testes_versus_meu_codigo/dlx_nova_versao/comparacao/resultados/20260822_191747_2/logs/scp42_rep01_pos2_cplex.log"
"scp42","2","1","cplex","0","Optimal","512","60","0.002528256","0.016079247","0.018607503","0.002527000","0.016081000","0.018608000","0.02","0.01","0.00","19700","0","512","0","SIM","/home/leo/novo_tcc_rian/cplex_testes_versus_meu_codigo/dlx_nova_versao/comparacao/resultados/20260822_191747_2/logs/scp42_rep02_pos1_cplex.log"
"scp42","2","2","dlx","0","Optimal","512","60","0.008281802","0.000062265","0.008344067","0.008280000","0.000062000","0.008342000","0.01","0.01","0.00","3852","61","512.0000","","","/home/leo/novo_tcc_rian/cplex_testes_versus_meu_codigo/dlx_nova_versao/comparacao/resultados/20260822_191747_2/logs/scp42_rep02_pos2_dlx.log"
"scp42","3","1","dlx","0","Optimal","512","60","0.005119569","0.000051284","0.005170853","0.005119000","0.000051000","0.005170000","0.00","0.00","0.00","3660","61","512.0000","","","/home/leo/novo_tcc_rian/cplex_testes_versus_meu_codigo/dlx_nova_versao/comparacao/resultados/20260822_191747_2/logs/scp42_rep03_pos1_dlx.log"
"scp42","3","2","cplex","0","Optimal","512","60","0.001655189","0.011754405","0.013409594","0.001654000","0.011755000","0.013409000","0.01","0.01","0.00","20588","0","512","0","SIM","/home/leo/novo_tcc_rian/cplex_testes_versus_meu_codigo/dlx_nova_versao/comparacao/resultados/20260822_191747_2/logs/scp42_rep03_pos2_cplex.log"
"scp43","1","1","cplex","0","Optimal","516","64","0.001504876","0.010443200","0.011948076","0.001504000","0.010445000","0.011949000","0.01","0.01","0.00","20436","0","516","0","SIM","/home/leo/novo_tcc_rian/cplex_testes_versus_meu_codigo/dlx_nova_versao/comparacao/resultados/20260822_191747_2/logs/scp43_rep01_pos1_cplex.log"
"scp43","1","2","dlx","0","Optimal","516","64","0.004794159","0.000058407","0.004852566","0.004778000","0.000058000","0.004836000","0.00","0.00","0.00","4000","65","516.0000","","","/home/leo/novo_tcc_rian/cplex_testes_versus_meu_codigo/dlx_nova_versao/comparacao/resultados/20260822_191747_2/logs/scp43_rep01_pos2_dlx.log"
"scp43","2","1","dlx","0","Optimal","516","64","0.006154177","0.000063250","0.006217427","0.006148000","0.000063000","0.006211000","0.00","0.00","0.00","3828","65","516.0000","","","/home/leo/novo_tcc_rian/cplex_testes_versus_meu_codigo/dlx_nova_versao/comparacao/resultados/20260822_191747_2/logs/scp43_rep02_pos1_dlx.log"
"scp43","2","2","cplex","0","Optimal","516","64","0.001667357","0.011921595","0.013588952","0.001667000","0.011923000","0.013590000","0.01","0.00","0.01","20412","0","516","0","SIM","/home/leo/novo_tcc_rian/cplex_testes_versus_meu_codigo/dlx_nova_versao/comparacao/resultados/20260822_191747_2/logs/scp43_rep02_pos2_cplex.log"
"scp43","3","1","cplex","0","Optimal","516","64","0.002485049","0.011299363","0.013784412","0.002484000","0.011301000","0.013785000","0.01","0.01","0.00","20656","0","516","0","SIM","/home/leo/novo_tcc_rian/cplex_testes_versus_meu_codigo/dlx_nova_versao/comparacao/resultados/20260822_191747_2/logs/scp43_rep03_pos1_cplex.log"
"scp43","3","2","dlx","0","Optimal","516","64","0.004993404","0.000061414","0.005054818","0.004993000","0.000061000","0.005054000","0.00","0.00","0.00","3792","65","516.0000","","","/home/leo/novo_tcc_rian/cplex_testes_versus_meu_codigo/dlx_nova_versao/comparacao/resultados/20260822_191747_2/logs/scp43_rep03_pos2_dlx.log"
