instance,cost_agreement,cplex_status,dlx_status,cplex_cost,dlx_cost,cplex_sets,dlx_sets,cplex_runs,dlx_runs,cplex_prep_median_s,dlx_prep_median_s,cplex_core_median_s,dlx_core_median_s,cplex_total_after_read_median_s,dlx_total_after_read_median_s,dlx_speedup_total_x,cplex_process_median_s,dlx_process_median_s,dlx_speedup_process_x,cplex_max_rss_median_kb,dlx_max_rss_median_kb,cplex_nodes_median,dlx_nodes_median
scp41,MATCH_OPTIMAL,Optimal,Optimal,429,429,66,66,5,5,0.001506948,0.007188903,0.010630007,0.000039876,0.012289652,0.007228779,1.700,0.017683029,0.010844946,1.631,20064.0,3916.0,0.0,67.0
scp42,MATCH_OPTIMAL,Optimal,Optimal,512,512,60,60,5,5,0.001656812,0.005551208,0.012490390,0.000063121,0.014147202,0.005602188,2.525,0.020606995,0.009883881,2.085,19664.0,3996.0,0.0,61.0
scp43,MATCH_OPTIMAL,Optimal,Optimal,516,516,64,64,5,5,0.001646282,0.004691840,0.011179248,0.000058255,0.012825530,0.004749991,2.700,0.018491030,0.009298086,1.989,20244.0,3916.0,0.0,65.0
scp44,MATCH_OPTIMAL,Optimal,Optimal,494,494,63,63,5,5,0.001437798,0.008451576,0.021267810,0.000175695,0.022914591,0.008627271,2.656,0.028545141,0.013146877,2.171,23060.0,3880.0,0.0,304.0
scp45,MATCH_OPTIMAL,Optimal,Optimal,512,512,60,60,5,5,0.001658963,0.004963145,0.010820133,0.000040008,0.012433989,0.005003153,2.485,0.020210028,0.008954048,2.257,19816.0,3868.0,0.0,61.0
scp46,MATCH_OPTIMAL,Optimal,Optimal,560,560,64,64,5,5,0.001638016,0.007807068,0.015869441,0.045694913,0.017517751,0.053501981,0.327,0.022737026,0.058210135,0.391,21628.0,3892.0,0.0,80008.0
scp47,MATCH_OPTIMAL,Optimal,Optimal,430,430,58,58,5,5,0.001621031,0.006254668,0.010463303,0.000042501,0.011964831,0.006296971,1.900,0.017237186,0.010324955,1.669,19932.0,3792.0,0.0,59.0
scp48,MATCH_OPTIMAL,Optimal,Optimal,492,492,59,59,5,5,0.001749651,0.007091397,0.023396735,0.018419392,0.025146386,0.025163213,0.999,0.030671835,0.029278994,1.048,21628.0,3828.0,0.0,32903.0
scp49,MATCH_OPTIMAL,Optimal,Optimal,641,641,61,61,5,5,0.001601620,0.008379711,0.023331062,0.108326475,0.025628323,0.115821475,0.221,0.032672882,0.121665955,0.269,21356.0,3916.0,0.0,156430.0
scp410,MATCH_OPTIMAL,Optimal,Optimal,514,514,64,64,5,5,0.002075697,0.006821927,0.011600816,0.000045807,0.014697224,0.006867699,2.140,0.021807909,0.011227131,1.942,20088.0,3916.0,0.0,65.0
scp51,MATCH_OPTIMAL,Optimal,Optimal,253,253,62,62,5,5,0.003153747,0.020057073,0.039031931,1.129849604,0.041648640,1.147079493,0.036,0.047722101,1.152621984,0.041,23936.0,4244.0,0.0,1148872.0
scp52,MATCH_OPTIMAL,Optimal,Optimal,302,302,58,58,5,5,0.002273718,0.019530919,0.063728557,1.323625641,0.066641549,1.344642446,0.050,0.073331118,1.349288940,0.054,24576.0,4136.0,0.0,1112511.0
scp53,MATCH_OPTIMAL,Optimal,Optimal,226,226,56,55,5,5,0.002718129,0.016180764,0.018939344,0.000051909,0.025785728,0.016246403,1.587,0.033310890,0.020611048,1.616,21224.0,4136.0,0.0,56.0
scp54,MATCH_OPTIMAL,Optimal,Optimal,242,242,66,66,5,5,0.003960021,0.016971071,0.033046794,0.023146428,0.037006815,0.040277704,0.919,0.044196129,0.045590878,0.969,23808.0,4108.0,0.0,27450.0
scp55,MATCH_OPTIMAL,Optimal,Optimal,211,211,60,60,5,5,0.003259440,0.026541088,0.038155517,0.000052276,0.043457570,0.026586787,1.635,0.054054976,0.032438040,1.666,26108.0,4124.0,0.0,61.0
scp56,MATCH_OPTIMAL,Optimal,Optimal,213,213,58,58,5,5,0.002682707,0.015464182,0.019549886,0.000058057,0.022057759,0.015526804,1.421,0.028823853,0.020447016,1.410,22168.0,4136.0,0.0,59.0
scp57,MATCH_OPTIMAL,Optimal,Optimal,293,293,64,64,5,5,0.003069719,0.015798977,0.031030919,0.005095936,0.034472094,0.020894913,1.650,0.040699959,0.026268005,1.549,23800.0,4148.0,0.0,7826.0
scp58,MATCH_OPTIMAL,Optimal,Optimal,288,288,62,61,5,5,0.002634286,0.021173779,0.028383617,0.118354698,0.031004773,0.144068765,0.215,0.038883924,0.148550987,0.262,22740.0,4108.0,0.0,103301.0
scp59,MATCH_OPTIMAL,Optimal,Optimal,279,279,57,57,5,5,0.002562720,0.017520226,0.018415826,0.000107740,0.020578212,0.017582771,1.170,0.026270151,0.022190094,1.184,21604.0,4148.0,0.0,58.0
